wavelength,B1,B2,B3,B4,B5,B6,B7,B8
12210,,,,,,0.532,,
12220,,,,,,0.532,,
12230,,,,,,0.533,,
12240,,,,,,0.561,,
12250,,,,,,0.518,,
12260,,,,,,0.532,,
12270,,,,,,0.533,,
12280,,,,,,0.524,,
12290,,,,,,0.55,,
12300,,,,,,0.567,,
12310,,,,,,0.531,,
12320,,,,,,0.553,,
12330,,,,,,0.527,,
12340,,,,,,0.537,,
12350,,,,,,0.53,,
12360,,,,,,0.507,,
12370,,,,,,0.488,,
12380,,,,,,0.485,,
12390,,,,,,0.447,,
12400,,,,,,0.447,,
12410,,,,,,0.425,,
12420,,,,,,0.416,,
12430,,,,,,0.405,,
12440,,,,,,0.388,,
12450,,,,,,0.358,,
12460,,,,,,0.36,,
12470,,,,,,0.275,,
12480,,,,,,0.272,,
12490,,,,,,0.29,,
12500,,,,,,0.196,,
12510,,,,,,0.205,,
12520,,,,,,0.208,,
12530,,,,,,0.172,,
12540,,,,,,0.149,,
12540,,,,,,0.126,,
12550,,,,,,0.109,,
12560,,,,,,0.105,,
12570,,,,,,0.075,,
12580,,,,,,0.069,,
12590,,,,,,0.077,,
12600,,,,,,0.099,,
12610,,,,,,0.069,,
12620,,,,,,0.073,,
12630,,,,,,0.085,,
12640,,,,,,0.069,,
12650,,,,,,0.03,,
12660,,,,,,0.045,,
12670,,,,,,0.052,,
12680,,,,,,0.013,,
12690,,,,,,0.023,,
12700,,,,,,0.009,,
12710,,,,,,0.032,,
12720,,,,,,0.017,,
12730,,,,,,-0.027,,
12740,,,,,,0.011,,
12750,,,,,,0.017,,
12760,,,,,,-0.019,,
12770,,,,,,0.005,,
12780,,,,,,0.011,,
12790,,,,,,0.003,,
12800,,,,,,0.011,,
12810,,,,,,-0.011,,
12820,,,,,,0.013,,
12830,,,,,,0.008,,
12840,,,,,,-0.012,,
12850,,,,,,0.02,,
12860,,,,,,0.015,,
12870,,,,,,-0.001,,
12880,,,,,,-0.026,,
12890,,,,,,-0.015,,
12900,,,,,,0.001,,
