wavelength,B1,B2,B3,B4
1063,,,,0.31516666666666665
1064,,,,0.3123333333333333
1065,,,,0.309
1066,,,,0.30566666666666664
1067,,,,0.3026666666666667
1068,,,,0.2996666666666667
1069,,,,0.29733333333333334
1070,,,,0.295
1071,,,,0.292
1072,,,,0.289
1073,,,,0.2866666666666667
1074,,,,0.2841666666666667
1075,,,,0.281
1076,,,,0.2773333333333334
1077,,,,0.2745
1078,,,,0.2711666666666667
1079,,,,0.2688333333333333
1080,,,,0.26366666666666666
1081,,,,0.25966666666666666
1082,,,,0.2551666666666667
1083,,,,0.24850000000000003
1084,,,,0.245
1085,,,,0.24166666666666667
1086,,,,0.23783333333333334
1087,,,,0.2343333333333333
1088,,,,0.2305
1089,,,,0.22716666666666666
1090,,,,0.22250000000000003
1091,,,,0.2176666666666667
1092,,,,0.21350000000000002
1093,,,,0.2081666666666667
1094,,,,0.15683333333333335
1095,,,,0.12349999999999998
1096,,,,0.09349999999999999
1097,,,,0.06266666666666666
1098,,,,0.06720000000000001
1099,,,,0.0495
1100,,,,0.0
1101,,,,0.0
